,date,open,close,high,low,volume,code
1524,2008-03-31,-25.03,-23.595,-22.25,-27.133,15021.08,sh600519
1525,2008-04-01,-22.25,-25.894,-22.25,-27.885,13679.0,sh600519
1526,2008-04-02,-26.382,-27.449,-22.626,-35.39,16431.03,sh600519
1527,2008-04-03,-30.139,-30.882,-27.885,-33.144,13419.76,sh600519
1528,2008-04-07,-31.641,-25.796,-25.255,-33.144,21968.69,sh600519
1529,2008-04-08,-26.006,-20.725,-19.62,-27.885,13058.19,sh600519
1530,2008-04-09,-22.851,-26.795,-21.874,-27.246,12507.13,sh600519
1531,2008-04-10,-27.885,-30.597,-27.133,-32.468,20409.77,sh600519
1532,2008-04-11,-30.514,-32.656,-30.139,-33.144,23957.73,sh600519
1533,2008-04-14,-33.159,-38.336,-33.159,-38.644,21684.37,sh600519
1534,2008-04-15,-39.154,-38.118,-38.027,-43.287,20148.4,sh600519
1535,2008-04-16,-38.403,-37.562,-34.647,-41.363,15638.77,sh600519
1536,2008-04-17,-36.525,-37.562,-33.895,-39.831,10401.05,sh600519
1537,2008-04-18,-39.417,-36.855,-35.022,-41.408,13767.97,sh600519
1538,2008-04-21,-29.387,-35.743,-27.133,-39.891,14522.56,sh600519
1539,2008-04-22,-39.906,-40.507,-35.398,-48.17,22129.42,sh600519
1540,2008-04-23,-43.362,-36.134,-34.647,-46.668,12669.88,sh600519
1541,2008-04-24,-27.133,-24.902,-23.287,-31.641,39321.87,sh600519
1542,2008-04-25,-26.382,-31.025,-26.382,-31.04,23845.07,sh600519
1543,2008-04-28,-32.4,-31.942,-31.288,-36.773,12772.32,sh600519
1544,2008-04-29,-35.39,-31.964,-31.063,-35.39,6149.26,sh600519
1545,2008-04-30,-31.897,-27.036,-25.706,-31.897,11883.27,sh600519
1546,2008-05-05,-26.833,-26.638,-25.195,-27.975,8089.73,sh600519
1547,2008-05-06,-27.133,-29.553,-27.133,-30.83,8487.61,sh600519
1548,2008-05-07,-30.89,-32.738,-28.185,-32.783,7353.75,sh600519
1549,2008-05-08,-33.151,-30.116,-29.538,-36.149,8860.66,sh600519
1550,2008-05-09,-29.395,-31.085,-29.395,-32.761,5774.01,sh600519
1551,2008-05-12,-33.527,-28.636,-27.471,-34.797,9206.33,sh600519
1552,2008-05-13,-32.032,-30.169,-27.209,-32.994,5145.06,sh600519
1553,2008-05-14,-31.416,-28.816,-28.411,-31.551,6008.44,sh600519
1554,2008-05-15,-27.885,-26.698,-23.752,-30.139,14690.44,sh600519
1555,2008-05-16,-27.133,-27.178,-24.879,-27.847,4673.32,sh600519
1556,2008-05-19,-27.178,-29.38,-27.178,-30.094,3828.32,sh600519
1557,2008-05-20,-30.815,-34.579,-28.486,-34.647,9927.35,sh600519
1558,2008-05-21,-35.698,-34.166,-31.641,-36.901,19542.96,sh600519
1559,2008-05-22,-34.391,-34.767,-33.144,-38.073,7536.39,sh600519
1560,2008-05-23,-36.893,-35.398,-34.647,-36.901,12891.14,sh600519
1561,2008-05-26,-36.901,-34.767,-34.647,-36.901,7354.52,sh600519
1562,2008-05-27,-36.164,-37.043,-33.895,-37.201,15455.89,sh600519
1563,2008-05-29,-36.991,-37.021,-35.398,-38.967,9431.31,sh600519
1564,2008-05-30,-37.126,-38.298,-36.525,-39.147,5203.08,sh600519
1565,2008-06-02,-37.802,-36.014,-35.398,-41.408,8423.12,sh600519
1566,2008-06-03,-36.901,-36.307,-35.398,-37.269,6577.03,sh600519
1567,2008-06-04,-38.373,-38.268,-36.901,-38.636,6770.3,sh600519
1568,2008-06-05,-38.403,-40.665,-36.239,-40.882,3922.05,sh600519
1569,2008-06-06,-40.665,-41.544,-40.65,-43.655,7814.69,sh600519
1570,2008-06-10,-45.12,-46.044,-43.67,-47.336,12715.58,sh600519
1571,2008-06-11,-46.795,-46.299,-45.916,-48.922,9126.31,sh600519
1572,2008-06-12,-46.307,-51.018,-46.307,-53.88,13789.9,sh600519
1573,2008-06-13,-53.347,-52.31,-50.875,-53.347,6186.34,sh600519
1574,2008-06-16,-53.027,-55.431,-52.801,-55.476,10219.54,sh600519
1575,2008-06-17,-56.175,-57.332,-56.175,-58.729,17474.15,sh600519
1576,2008-06-18,-58.572,-55.589,-55.055,-59.128,17592.4,sh600519
1577,2008-06-19,-55.206,-58.459,-55.206,-58.812,6970.38,sh600519
1578,2008-06-20,-58.812,-55.874,-54.77,-59.421,14177.52,sh600519
